"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
112,"NCT03289819","Neoadjuvant Pembrolizumab(Pbr)/Nab-Paclitaxel Followed by Pbr/Epirubicin/Cyclophosphamide in TNBC","NIB","Active, not recruiting","No Results Available","Malignant Neoplasm of Breast","Drug: Pembrolizumab|Drug: nab-paclitaxel|Drug: Epirubicin|Drug: Cyclophosphamide","Pathological Complete Response (pCR) rate|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Clinical Response|EORTC QLQ-BR23|EORTC QLQ-C30","Institut fuer Frauengesundheit|Merck Sharp & Dohme Corp.|Celgene Corporation","Female","18 Years and older   (Adult, Older Adult)","Phase 2","50","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IFG-NIB-01|2016-003102-14|U1111-1188-3915","March 23, 2018","May 2020","September 2020","September 21, 2017",,"January 18, 2020","Department of Gynecology, Tübingen University Hospital, Tübingen, Baden-Württemberg, Germany|Department of Gynecology and Obstetrics, Erlangen University Hospital, Erlangen, Bavaria, Germany|Department for Gynecology and Obstetrics, Marienhospital Bottrop gGmbH, Bottrop, North Rhine-Westphalia, Germany|Department of Gynecology and Obstetrics, HELIOS Hospital Berlin Buch GmbH, Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT03289819"
113,"NCT03823625","An Open-label, Randomized, Parallel, Non Comparative, Phase II Trial of Nivolumab Plus Ipilimumab Versus Platinum-based Chemotherapy Plus Nivolumab in Chemonaive Metastatic or Recurrent Squamous-Cell Lung Cancer (SqLC)","SQUINT","Recruiting","No Results Available","Squamous-Cell Lung Cancer","Drug: Nivolumab plus Ipilimumab|Drug: Platinum-based chemotherapy plus Nivolumab","Efficacy in terms of Overall Survival in subjects with Stage IIIB not amenable to radical treatment or Stage IV or recurrent squamous-cell lung carcinoma treated in the study|Biomarkers analysis|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0","Fondazione Ricerca Traslazionale|Clinical Research Technology S.r.l.","All","18 Years and older   (Adult, Older Adult)","Phase 2","112","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SQUINT-FoRT 04","September 13, 2017","February 28, 2021","February 28, 2021","January 30, 2019",,"March 25, 2020","IRCCS - Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST)- Oncologia Medica, Meldola, Forlì- Cesena, Italy|Ospedale ""Infermi"" Rimini, Rimini, Italia, Italy|Centro di Riferimento Oncologico della Basilicata, Rionero In Vulture, Potenza, Italy|Sacro Cuore- Don Calabria Hospital- U.O.C. Oncologia Medica, Negrar, Verona, Italy|Istituto Toscano Tumori Ospedale San Donato- U.O.C. di Oncologia Medica Dipartimento di Oncologia USL-8, Arezzo, Italy|IRCCS A.O.U. San Martino- IST- Istituto Nazionale per la Ricerca sul Cancro- U.O.S. Tumori Polmonari, Genova, Italy|Istituto Europeo di Oncologia - Divisione di Oncologia Toracica, Milano, Italy|A.O.U. Policlinico di Modena- Oncologia Ematologia e Malattie Apparato Respiratorio, Modena, Italy|A.O.R.N dei Colli - Ospedale Monaldi, Napoli, Italy|I.R.C.C.S. Istituto Oncologico Veneto, Padova, Italy|Azienda Ospedaliera Universitaria Paolo Giaccone, Palermo, Italy|Casa di Cura La Maddalena- U.O. Oncologia medica, Palermo, Italy|Azienda Ospedaliera di Perugia- S.C. Oncologia Medica, Perugia, Italy|Ospedale di Ravenna- Oncologia Medica, Ravenna, Italy|IRCCS Arcispedale Santa Maria Nuova, Reggio Emilia, Italy|Azienda Ospedaliera San Camillo-Forlanini, Roma, Italy|Policlinico Universitario ""Campus Biomedico"" di Roma, Roma, Italy|Policlinico 'G.B.Rossi' Borgo Roma - A.O.U. Integrata (Giampaolo Tortora)- Oncologia Medica, Verona, Italy",,"https://ClinicalTrials.gov/show/NCT03823625"
114,"NCT02608684","A Study of Pembrolizumab With Standard Treatment in Patients With Recurrent Platinum-resistant Ovarian Cancer","PemCiGem","Active, not recruiting","Has Results","Ovarian Cancer","Drug: Pembrolizumab|Drug: Gemcitabine|Drug: Cisplatin","Overall Response Rate (ORR)|Overall Response Rate by iRECIST|Progression-free Survival (PFS) at 6 Months and at 12 Months|Time to Progression|Duration of Response|Overall Survival (OS)|Frequency and Intensity of Adverse Events (CTCAE v.4), Deemed at Least Possibly Related to Study Participation","Cedars-Sinai Medical Center|Merck Sharp & Dohme Corp.","Female","18 Years and older   (Adult, Older Adult)","Phase 2","21","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IIT2015-13-Walsh-PemCiGem","February 2016","May 17, 2019","May 2020","November 20, 2015","March 17, 2020","March 27, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/84/NCT02608684/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02608684"
115,"NCT03833440","Precision Immuno-Oncology for Advanced Non-small Cell Lung Cancer Patients With PD-1 ICI Resistance","PIONeeR","Recruiting","No Results Available","Non-small Cell Lung Cancer","Drug: Durvalumab (MEDI4736)|Drug: Monalizumab (IPH2201|Drug: Oleclumab (MEDI9447)|Drug: AZD6738|Drug: DOCETAXEL","the 12-week Disease Control Rate|Overall Response Rate|Progression-free survival (PFS)|PFS Ratio|Overall Survival (OS)|Duration of Response","Assistance Publique Hopitaux De Marseille","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2018-21|2018-000914-39","October 8, 2019","October 2023","February 2024","February 7, 2019",,"March 4, 2020","Assistance Publique Hopitaux de Marseille, Marseille, France",,"https://ClinicalTrials.gov/show/NCT03833440"
116,"NCT03801304","Trial to Evaluate Safety and Efficacy of Vinorelbine With Metronomic Administration in Combination With Atezolizumab as Second-line Treatment for Patients With Stage IV Non-small Cell Lung Cancer","VinMetAtezo","Recruiting","No Results Available","Non-small Cell Lung Cancer","Drug: Atezolizumab|Drug: Vinorelbine","Occurrence of death or progression of the disease|Emergence of adverse events (Safety and tolerability)|Occurrence of death|Objective Response Rate|Following of the quality of life","University Hospital, Brest|Groupe Français de Pneumo-Cancérologie|Roche Farma, S.A|Pierre Fabre Medicament","All","18 Years and older   (Adult, Older Adult)","Phase 2","71","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","29BRC18-0005 (VinMetAtezo)","January 24, 2019","July 24, 2020","July 24, 2022","January 11, 2019",,"March 25, 2020","CH Aix en Provence, Aix-en-Provence, France|CHRU de Brest - Hôpital Morvan, Brest, France|CLCC Caen, Caen, France|CH de Créteil, Créteil, France|Ch La Roche Sur Yon, La Roche Sur Yon, France|CHU de Limoges - Hôpital DUPUYTREN, Limoges, France|CH Lorient, Lorient, France|CH MEAUX, Meaux, France|CHU Montpellier, Montpellier, France|CH Pringy, Pringy, France|CH Quimper, Quimper, France|CHU de Rennes, Rennes, France|CHU Rouen, Rouen, France|CH Saint-Brieuc, Saint-Brieuc, France|Hia Saint Anne, Toulon, France|CH Villefranche sur Saône, Villefranche-sur-Saône, France",,"https://ClinicalTrials.gov/show/NCT03801304"
117,"NCT03901573","High-Risk Skin Cancers With Atezolizumab Plus NT-I7",,"Recruiting","No Results Available","Melanoma|Merkel Cell Carcinoma|Cutaneous Squamous Cell Carcinoma","Drug: NT-I7|Drug: atezolizumab","Safety and Tolerability of NT-I7 in combination with atezolizumab to determine the maximum tolerated dose (MTD) and/or the recommended Phase 2 dose (RP2D) of NT-I7|To evaluate immunogenicity of NT-I7 and atezolizumab|Preliminary assessment of the Objective Response Rate (ORR) of NT-I7 in combination with atezolizumab|Preliminary assessment the Disease Control Rate (DCR) of NT-I7 in combination with atezolizumab|Preliminary assessment the Duration of Objective Response (DOR) of NT-I7 in combination with atezolizumab|Preliminary assessment the Progression Free Survival (PFS) of NT-I7 in combination with atezolizumab|Preliminary assessment the Overall Survival (OS) of NT-I7 in combination with atezolizumab","NeoImmuneTech|Immune Oncology Network","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","84","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NIT-106|ION-02","December 26, 2019","February 2024","May 2024","April 3, 2019",,"February 7, 2020","Dana Farber, Boston, Massachusetts, United States|Washington University, Saint Louis, Missouri, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Mt Sinai, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|Providence Portland Medical Center, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT03901573"
118,"NCT03755440","PD-1 Antibody in EBV Positive Metastatic Gastric Cancer Patients.",,"Enrolling by invitation","No Results Available","Gastric Cancer Stage IV|EBV","Drug: PD-1 antibody (SHR-1210)","Response rate|Progression-Free Survival (PFS)|Overall Survival (OS)|Disease Control Rate (DCR)","Sun Yat-sen University","All","18 Years and older   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EBVaGC-SYSUCC","December 1, 2018","December 31, 2020","December 31, 2020","November 28, 2018",,"November 7, 2019","Cancer center of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03755440"
119,"NCT04267549","Conversion Therapy of Sintilimab in Combination With Apatinib and Chemotherapy in Unresectable Gastric Cancer",,"Recruiting","No Results Available","Gastric Cancer Stage","Drug: sintilimab|Drug: apatinib|Drug: S1|Drug: Nab paclitaxel","R0-surgery conversion rate|adverse event|R0 surgery rate|Overall response rate ( ORR)|overall survival (OS)|Progression-free survival (PFS)","Tianjin Medical University Cancer Institute and Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","E20207","December 1, 2019","December 30, 2020","December 30, 2021","February 13, 2020",,"February 13, 2020","Department of Gastrointestinal Medical Oncology, Tianjin Medical University Cancer Hospital, Tianjin, Tianjin, China",,"https://ClinicalTrials.gov/show/NCT04267549"
120,"NCT04379596","Ph1b/2 Study of the Safety and Efficacy of T-DXd Combinations in Advanced HER2+ Gastric Cancer (DESTINY-Gastric03)","DG-03","Not yet recruiting","No Results Available","Gastric Cancer","Drug: Fluorouracil (5-FU)|Drug: Capecitabine|Biological: Durvalumab|Drug: Oxaliplatin|Biological: Trastuzumab|Drug: Trastuzumab deruxtecan|Drug: Cisplatin","Part 1: Occurrence of adverse events (AEs) and serious adverse events (SAEs)|Part 2: Objective Response Rate (ORR)|Part 1: Objective Response Rate (ORR)|Part 2: Occurrence of adverse events (AEs) and serious adverse events (SAEs)|Duration of Response (DoR)|Disease Control Rate (DCR)|Progression Free Survival (PFS)|Overall survival (OS)|Serum concentration of T-DXd, total anti-HER2 antibody, and MAAA-1181a in all arms|Serum concentration of durvalumab in study arms including T-DXd in combination with durvalumab|Presence of ADAs for T-DXd and durvalumab (in study arms including T-DXd and durvalumab)","AstraZeneca|Daiichi Sankyo Company, Limited 3-5-1 Nihonbashihoncho, Chuo-ku, Tokyo","All","18 Years to 130 Years   (Adult, Older Adult)","Phase 1|Phase 2","220","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D967LC00001","May 25, 2020","December 27, 2022","December 27, 2022","May 7, 2020",,"May 7, 2020","Research Site, New York, New York, United States|Research Site, Toronto, Ontario, Canada|Research Site, Berlin, Germany|Research Site, Frankfurt, Germany|Research Site, Frankfurt, Germany|Research Site, Hamburg, Germany|Research Site, Hamburg, Germany|Research Site, Leipzig, Germany|Research Site, Mannheim, Germany|Research Site, München, Germany|Research Site, Milano, Italy|Research Site, Milano, Italy|Research Site, Napoli, Italy|Research Site, Padova, Italy|Research Site, Verona, Italy|Research Site, Seongnam, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Madrid, Spain|Research Site, Santander, Spain|Research Site, Sevilla, Spain|Research Site, Kaohsiung, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taoyuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT04379596"
121,"NCT04139317","Safety and Efficacy of Capmatinib (INC280) Plus Pembrolizumab vs Pembrolizumab Alone in NSCLC With PD-L1≥ 50%",,"Recruiting","No Results Available","Non-small Cell Lung Cancer (NSCLC)","Drug: Capmatinib|Biological: Pembrolizumab","Progression-free survival (PFS) based on local investigator assessment as per RECIST 1.1|Objective response rate (ORR) based on local investigator assessment as per RECIST 1.1|Disease control rate (DCR) based on local investigator assessment as per RECIST 1.1|Time-to-response (TTR) based on local investigator assessment as per RECIST 1.1|Duration of response (DOR) based on local investigator assessment as per RECIST 1.1|Overall survival (OS)|Antidrug antibodies (ADA) of pembrolizumab|AUC of Capmatinib derived from plasma capmatinib concentration|Ctrough of Pembrolizumab derived from serum pembrolizumab concentration|Cmax of Capmatinib derived from plasma capmatinib concentration|Tmax of Capmatinib derived from plasma capmatinib concentration","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 2","96","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CINC280I12201","January 22, 2020","March 28, 2023","March 28, 2023","October 25, 2019",,"April 21, 2020","Novartis Investigative Site, Shepparton, Victoria, Australia|Novartis Investigative Site, Yvoir, Belgium|Novartis Investigative Site, Kolkata, West Bengal, India|Novartis Investigative Site, Delhi, India|Novartis Investigative Site, Nagoya, Aichi, Japan|Novartis Investigative Site, Yokohama-city, Kanagawa, Japan|Novartis Investigative Site, Kuching, Sarawak, Malaysia|Novartis Investigative Site, Barcelona, Cataluña, Spain|Novartis Investigative Site, Valencia, Comunidad Valenciana, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Changhua, Taiwan",,"https://ClinicalTrials.gov/show/NCT04139317"
122,"NCT03331562","A SU2C Catalyst® Trial of a PD1 Inhibitor With or Without a Vitamin D Analog for the Maintenance of Pancreatic Cancer",,"Active, not recruiting","No Results Available","Pancreatic Cancer|Pancreas Adenocarcinoma|Advanced Pancreatic Cancer|Metastatic Pancreatic Cancer|Metastatic Pancreatic Adenocarcinoma","Drug: Pembrolizumab|Drug: paricalcitol|Drug: placebo","Percent of patients with radiographic disease progression according to RECIST 1.1 at 6 months from initiation of trial treatment|Incidence of treatment-related toxicities as assessed by CTCAE v4.0 from cycle1/day 1 through 30 days after the last dose of trial treatment.|Difference in overall survival (OS) in patients administered the combination of paricalcitol plus pembrolizumab versus pembrolizumab alone|Change in tumor mutational landscape and transcriptional programs using unbiased genome-wide sequencing|Cellular VDR targets in the immune microenvironment with PD1 blockade","Translational Genomics Research Institute|Stand Up To Cancer|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 2","24","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TGen 17-001|MISP# 56240","December 27, 2017","December 30, 2020","June 15, 2021","November 6, 2017",,"February 17, 2020","HonorHealth Research Institute, Scottsdale, Arizona, United States|City of Hope National Medical Center, Duarte, California, United States|The University of Kansas Cancer Center, Westwood, Kansas, United States|Atlantic Medical Group-Oncology Morristown Medical Center, Morristown, New Jersey, United States|Baylor University Medical Center Charles A. Sammons Cancer Center, Dallas, Texas, United States|Froedtert Hospital and Medical College of Wisconsin, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT03331562"
123,"NCT04262687","Chemotherapy and Immunotherapy as Treatment for MSS Metastatic Colorectal Cancer With High Immune Infiltrate","POCHI","Not yet recruiting","No Results Available","Colorectal Cancer Metastatic|High Immune Infiltrate|Microsatellite Stable","Drug: Capecitabine|Drug: Oxaliplatin|Drug: Bevacizumab|Drug: Pembrolizumab","Evaluate the efficacy of pembrolizumab in combination with XELOX and bevacizumab as 1st line treatment of microsatellite stable (MSS) metastatic colorectal cancer (mCRC) with a high immune infiltrate|Overall survival|Serious adverse events evaluated according to NCI-CTC v4.0|Histological response in case of secondary resection|Outcome of tumour markers","Federation Francophone de Cancerologie Digestive","All","18 Years and older   (Adult, Older Adult)","Phase 2","55","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FFCD 1703 POCHI","April 30, 2020","December 31, 2022","December 31, 2023","February 10, 2020",,"February 10, 2020","Centre Hospitalier d'Abbeville, Abbeville, France|CHU Amiens-Picardie, Amiens, France|Ico - Site Paul Papin - Angers, Angers, France|Hôpital Privé - Pays de Savoie, Annemasse, France|Hopital Prive D'Antony, Antony, France|CH Henri Duffaut, Avignon, France|Ch Cote Basque, Bayonne CEDEX, France|Ch de Beauvais, Beauvais, France|Chu Jean Minjoz, Besançon, France|Polyclinique de Bordeaux Nord, Bordeaux CEDEX, France|Institut Bergonié BORDEAUX, Bordeaux, France|Hôpital Morvan Institut de cancérologie, Brest Cedex 2, France|Centre Maurice Tubiana, Caen, France|Centre Francois Baclesse, Caen, France|Infirmerie Protestante de Lyon, Caluire-et-Cuire, France|Médipole de Savoie, Challes-les-Eaux, France|Hopital Prive Paul D'Egine, Champigny-sur-Marne, France|Chauny Centre Hospitalier, Chauny, France|CH de CHOLET, Cholet, France|CHU d'Estaing CLERMONT FERRAND, Clermont Ferrand, France|Hopitaux Civils de Colmar, Colmar, France|Clinique Saint Come, Compiègne CEDEX, France|Clinique de Flandre, Coudekerque-Branche, France|GHPSO Site de Creil, Creil, France|Hôpital Henri Mondor, Créteil CEDEX, France|Hopital Francois Mitterrand, Dijon CEDEX, France|Centre Georges-Francois Leclerc, Dijon, France|CHU GRENOBLE ALPES - Hôpital Albert Michallon, Grenoble, France|Polyclinique de Blois - 3Eme Etage, La Chaussee St Victor, France|CHD Vendée - La Roche-sur-Yon, La Roche-sur-Yon, France|Chu Dupuytren - Limoges, Limoges, France|Hôpital Du Scorff - Chbs, Lorient CEDEX, France|Hôpital Prive Jean Mermoz, Lyon, France|Chu Lyon Sud - Pierre Benite, Lyon, France|Hopital Europeen Marseille, Marseille CEDEX 03, France|Chu La Timone, Marseille CEDEX 5, France|Hopital Saint Joseph, Marseille, France|Groupe Hospitalier de l'Est Francilien - MEAUX, Meaux, France|HOPITAL LAYNE - CH de MONT DE MARSAN, Mont-de-Marsan, France|Centre Azureen de Cancerologie, Mougins, France|Hopital Prive Arnault Tzanck, Mougins, France|Polyclinique de Gentilly, Nancy, France|CHU Carémeau, Nîmes, France|Institut Mutualiste Montsouris, Paris, France|Hôpital Europeen Georges Pompidou, Paris, France|Groupe Hospitalier Diaconesses Croix Saint Simon, Paris, France|CENTRE HOSPITALIER de PAU, Pau CEDEX, France|Polyclinique FRANCHEVILLE, Perigueux, France|Centre Hospitalier SAINT-JEAN de PERPIGNAN, Perpignan, France|Chu de Poitiers - La Miletrie, Poitiers, France|Chu Robert Debre, Reims CEDEX, France|Institut Jean Godinot, Reims, France|Chu de Pontchaillou - Rennes, Rennes CEDEX 9, France|Hopital Drome Nord, Romans-sur-Isère, France|Ico - Site René Gauducheau, Saint-Herblain, France|Centre Hospitalier de St Malo, Saint-Malo, France|Chu de Saint Etienne-Hopital Nord - Service Hge, Saint-Priest-en-Jarez, France|Polyclinique Saint Claude, Saint-Quentin, France|Clinique Charcot - Sainte Foy Les Lyon, Sainte-Foy-lès-Lyon, France|Clinique Sainte Anne, Strasbourg, France|CAC - Paul Strauss / ICAN STRASBOURG, Strasbourg, France|HAUTEPIERRE CHU de STRASBOURG, Strasbourg, France|Hopital Foch, Suresnes, France|Polyclinique de L'Ormeau, Tarbes, France|Hopital Sainte Musse, Toulon, France|CHU TROUSSEAU de TOURS, Tours CEDEX 9, France|CENTRE HOSPITALIER de VALENCIENNES, Valenciennes, France|Institut de Cancerologie de Lorraine, Vandœuvre-lès-Nancy, France|Hopital Paul Brousse, Villejuif, France",,"https://ClinicalTrials.gov/show/NCT04262687"
124,"NCT03950271","SHR-1210 Combined With Trastuzumab , Oxaliplatin and Capecitabine for Neoadjuvant Therapy of Gastric Adenocarcinoma/Gastroesophageal Junction Adenocarcinoma",,"Recruiting","No Results Available","Gastric Cancer","Drug: SHR-1210 Combined With Trastuzumab , Oxaliplatin and Capecitabine","Disease Free Survival（DFS）|Objective Response Rate (ORR)|Overall survival(OS)|pathological complete response (pCR) rate","Henan Cancer Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","25","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GCCG7","January 21, 2020","December 1, 2020","June 1, 2022","May 15, 2019",,"May 29, 2020","Henan Cancer Hospital, Zhengzhou, Henan, China",,"https://ClinicalTrials.gov/show/NCT03950271"
125,"NCT03810339","Toripalimab as Monotherapy in Participants With POLE or POLD-1 Mutated and Non-MSI-H Advanced Solid Tumors",,"Recruiting","No Results Available","Solid Tumor|Advanced Cancer","Drug: Toripalimab","Objective Response Rates (ORR)|Overall Survival (OS)|Progression free survival (PFS)|Adverse Events (AEs)","Sun Yat-sen University","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","35","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PPM","January 15, 2019","December 30, 2020","December 30, 2021","January 18, 2019",,"January 22, 2019","Cancer center of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03810339"
126,"NCT04263051","Evaluation of UCPVax Plus Nivolumab as Second Line Therapy in Advanced Non Small Cell Lung Cancer","Optim-UCPVax","Not yet recruiting","No Results Available","Advanced Non-small Cell Lung Cancer","Drug: UCPVax + Nivolumab|Drug: standard chemotherapy","6 months Progression-Free Survival (PFS) rate","Centre Hospitalier Universitaire de Besancon|Bristol-Myers Squibb","All","18 Years and older   (Adult, Older Adult)","Phase 2","111","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P/2019/451","April 1, 2020","April 1, 2025","April 1, 2025","February 10, 2020",,"February 19, 2020","CHU of Besançon, Besançon, France|CHU Bordeaux, Bordeaux, France|Centre Georges François Leclerc, Dijon, France|Institut de Cancérologie Privé CCGM, Montpellier, France|CH Mulhouse, Mulhouse, France|Institut Jean Godinot, Reims, France|Institut de Cancérologie de l'Ouest, Saint-Herblain, France",,"https://ClinicalTrials.gov/show/NCT04263051"
127,"NCT04101357","Safety, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy Trial of BNT411",,"Not yet recruiting","No Results Available","Solid Tumor|Extensive-stage Small Cell Lung Cancer","Drug: BNT411|Drug: Atezolizumab|Drug: Carboplatin|Drug: Etoposide","Incidence of DLTs|Incidence of TEAEs|Incidence of IMP dose reductions|Incidence of IMP treatment discontinuations due to toxicity|Maximum Plasma Concentration (Cmax) of PK assessments|Area under the curve (AUC) of PK assessments|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Duration of Response (DOR)","BioNTech Small Molecules GmbH","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","60","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BNT411-01","June 2020","June 2022","December 2023","September 24, 2019",,"November 15, 2019",,,"https://ClinicalTrials.gov/show/NCT04101357"
128,"NCT03817736","Sequential TransArterial Chemoembolization and Stereotactic RadioTherapy With ImmunoTherapy for Downstaging Hepatocellular Carcinoma for Hepatectomy","START-FIT","Recruiting","No Results Available","HCC","Procedure: TACE|Radiation: SBRT|Drug: Immune Checkpoint Inhibitor","Number of Patients Amendable to Curative Surgical Interventions|Response rate measured by mRECIST criteria|Time to progression (TTP)|Progression-free survival (PFS)|Overall survival (OS)|European Organization for Research and Treatment of Cancer Core Quality of Life Questionnaire (EORTC-QLQ-C30) Score|Functional Assessment of Cancer Therapy-Hepatobiliary (FACT-Hep) Score|Incidence of Study-Related Adverse Events [Safety and Tolerability]|Pathological response","The University of Hong Kong|Merck KGaA, Darmstadt, Germany","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","33","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UW 18-541","March 1, 2019","February 3, 2022","February 5, 2024","January 25, 2019",,"March 5, 2020","Department of Clinical Oncology, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT03817736"
129,"NCT03971409","Avelumab With Binimetinib, Utomilumab, or Anti-OX40 Antibody PF-04518600 in Treating Triple Negative Breast Cancer","InCITe","Recruiting","No Results Available","Stage III Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer|Invasive Breast Carcinoma|Recurrent Breast Carcinoma|Triple-Negative Breast Carcinoma","Biological: Anti-OX40 Antibody PF-04518600|Drug: Avelumab|Drug: Binimetinib|Biological: Utomilumab","Best Overall Response Rate (BORR) Assessed by Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1|Overall Response Rate (ORR) Assessed by Immune-Related RECIST (iRECIST)|Clinical Benefit Rate (CBR) Assessed by RECIST Version 1.1|Median Progression-free Survival (PFS) Assessed by RECIST Version 1.1|Median Overall Survival|Incidence of Adverse Events Assessed by Common Terminology Criteria for Adverse Events (CTCAE) v.5.0|Change in Quality of Life at 8 Weeks Assessed by Patient-Reported Outcomes Measurement Information System (PROMIS) Global Health Measure|Change in Quality of Life Over Treatment Duration Assessed by PROMIS Global Health Measure|Change in Symptoms (Self-Reported Toxicities) at 8 Weeks Assessed by Patient-Reported Outcomes - Common Terminology Criteria for Adverse Events (PRO-CTCAE)|Change in Symptoms (Self-Reported Toxicities) Over Treatment Duration Assessed by PRO-CTCAE|Change in Ability to Participate in Social Roles and Activities at 8 Weeks Assessed by PROMIS|Change in Ability to Participate in Social Roles and Activities Over Treatment Duration Assessed by PROMIS|Change in Treatment Satisfaction at 8 Weeks Assessed by the Treatment Satisfaction Questionnaire for Medication (TSQM)|Change in Treatment Satisfaction Over Treatment Duration Assessed by the TSQM","Hope Rugo, MD|Translational Breast Cancer Research Consortium|Hoosier Cancer Research Network|Array BioPharma|Pfizer|Breast Cancer Research Foundation|Johns Hopkins University|University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","187519|NCI-2019-01531|TBCRC 047|BRE16-279","July 3, 2019","June 1, 2020","June 1, 2023","June 3, 2019",,"November 1, 2019","University of California, San Francisco, San Francisco, California, United States|Mayo Clinic, Rochester, Minnesota, United States|UNC Lineberger Comprehensive Cancer Center, Chapel Hill, North Carolina, United States|Vanderbilt University/Ingram Cancer Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT03971409"
