"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
117,"NCT04212221","MGD013 Monotherapy and Combination With Brivanib Dose Escalation and Expansion Study in Advanced Liver Cancer Patients",,"Recruiting","No Results Available","Advanced Hepatocellular Carcinoma (HCC)","Drug: MGD013 monotherapy|Drug: MGD013 in combination with Brivanib Alaninate","Dose-limiting toxicities (DLTs)|Adverse Events Assessed by CTCAE Criteria|Objective response rate (ORR)|Disease control rate (DCR)|Time to tumor progression (TTP)|Duration of response (DoR)|Progression-free survival (PFS)|Overall survival (OS)","Zai Lab (Shanghai) Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","300","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ZL-MGD013-202","April 20, 2020","December 2022","June 2023","December 26, 2019",,"April 24, 2020","Prince of Wales Hospital, Hong Kong, Hong Kong, China",,"https://ClinicalTrials.gov/show/NCT04212221"
118,"NCT04301011","Study of TBio-6517, Given Intratumorally, Alone or in Combination With Pembrolizumab, in Solid Tumors","RAPTOR","Not yet recruiting","No Results Available","Solid Tumor|Triple Negative Breast Cancer|Microsatellite Stable Colorectal Cancer","Biological: TBio-6517|Biological: Pembrolizumab","Incidence of adverse events when TBio-6517 administered by direct injection into tumor(s) alone at each dose level|Incidence of adverse events when TBio-6517 administered by direct injection into tumor(s) when combined with pembrolizumab|Maximum tolerated dose (MTD) or Maximum feasible dose (MFD) and determination of the recommended Phase 2 dose (RP2D) of TBio-6517 alone and in combination with pembrolizumab.|Percentage of overall response rate (ORR) by RECIST 1.1 at the RP2D|Percentage of overall response rate (ORR) by immunotherapy RECIST (iRECIST) at the RP2D|Number and severity of adverse events at the RP2D|Median overall survival (OS)|Median Duration of Response (DoR)|Proportion of patients with a response (ORR)|Median Disease Control Rate (DCR)|Time to tumor progression (TTP)|Median progression free survival","Turnstone Biologics, Corp.|Takeda","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","84","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TBio-6517-ITu-001","April 20, 2020","August 20, 2022","December 30, 2022","March 9, 2020",,"March 9, 2020","Mayo Clinic, Phoenix, Arizona, United States|Mayo Clinic, Jacksonville, Florida, United States|Sylvester Comprehensive Cancer Center / UMHC, Miami, Florida, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|Mayo Clinic, Rochester, Minnesota, United States|The Billings Clinic, Billings, Montana, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04301011"
119,"NCT02040064","Tolerability and Efficacy of Tremelimumab in Combination With Gefitinib in NSCLC Patients","GEFTREM","Completed","No Results Available","Non Small Cell Lung Cancer","Drug: Gefitinib|Drug: Tremelimumab","safety and tolerability of the association between Gefitinib (fixed dose) and Tremelimumab (dose escalation)|Anti-tumour activity of Gefitinib + Tremelimumab|Immunogenicity of Tremelimumab in combination with Gefitinib|Pharmacokinetics of Gefitinib|Pharmacokinetics of Tremelimumab","Gustave Roussy, Cancer Campus, Grand Paris|AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 1","27","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2013-003015-21|2013/2028","January 2014","March 2016","March 2016","January 20, 2014",,"June 9, 2016","Gustave Roussy, Villejuif, Val de Marne, France",,"https://ClinicalTrials.gov/show/NCT02040064"
120,"NCT03385486","Study of TBX-3400 in Patients With Stage III and IV Melanoma Resistant or Refractory to Immune Checkpoint Inhibitors",,"Recruiting","No Results Available","Stage III Melanoma|Stage IV Melanoma","Biological: TBX-3400","Incidence and severity of treatment-emergent adverse events (TEAEs), including the incidence of dose-limiting toxicities (DLTs), graded using the NCI Common Terminology Criteria for Adverse Events (CTCAE) version 4.03|Tumor responses as defined by RECIST version 1.1|Tumor responses as defined by irRECIST|Assessment of concentrations of certain chemokines, such as cluster of differentiation 69 (CD69), as biomarkers of activity of TBX-3400|Presence and/or concentration of anti TBX-3400 antibodies","Taiga Biotechnologies, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","72","Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TBX-3400-001","June 2, 2019","April 2022","April 2022","December 28, 2017",,"September 19, 2019","University of Colorado Cancer Center, Denver, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT03385486"
121,"NCT03281369","A Study of Multiple Immunotherapy-Based Treatment Combinations in Patients With Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction Cancer (G/GEJ) or Esophageal Cancer (Morpheus-Gastric and Esophageal Cancer)",,"Recruiting","No Results Available","Gastric Adenocarcinoma or Gastroesophageal Junction Adenocarcinoma or Esophageal Carcinoma","Drug: 5-Fluorouracil (5-FU)|Drug: Leucovorin|Drug: Oxaliplatin|Drug: Atezolizumab|Drug: Cobimetinib|Biological: Ramucirumab|Drug: Paclitaxel|Biological: PEGylated recombinant human hyaluronidase (PEGPH20)|Drug: BL-8040|Drug: Linagliptin|Drug: Cisplatin|Drug: Tiragolumab","Percentage of Participants With Objective Response, as Determined by Investigator According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1 (v1.1)|Percentage of Participants with Adverse Events (AEs)|For Arm 1L-A : Percentage of Participants with Serious and Non-serious Treatment-related AEs|Progression-Free Survival (PFS), as Determined by Investigator According to RECIST v1.1|Overall Survival (OS)|Percentage of Participants Who Are Alive at Month 6 and at Month 12|Duration of Response, as Determined by Investigator According to RECIST v1.1|Percentage of Participants With Disease Control, as Determined by the Investigator per RECIST v1.1|Serum Concentration of Atezolizumab|Plasma Concentration of Cobimetinib|Plasma Concentration of PEGPH20|Plasma Concentration of BL-8040|Plasma Concentration of Linagliptin|Percentage of Participants With Anti-Drug Antibody (ADA) to Atezolizumab|Percentage of Participants With ADA to PEGPH20|Percentage of Participants With ADA to BL-8040|Percentage of Participants With Objective Response, in Participants with TIGIT-Positive Tumors by IHC (Esophageal Cancer Cohort Only)|Percentage of Participants With Objective Response, in Participants With PD-L1 IC/TC-Positive Tumors by IHC (Esophageal Cancer Cohort Only)","Hoffmann-La Roche|Halozyme Therapeutics|BioLineRx, Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","410","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","YO39609|2016-004529-17","October 13, 2017","November 13, 2021","November 13, 2021","September 13, 2017",,"May 20, 2020","Mayo Clinic Cancer Center, Scottsdale, Arizona, United States|Uni of Southern California; Norris Comprehensive Cancer Ctr, Los Angeles, California, United States|Dana-Farber Cancer Institute - Gastrointestinal Cancer Treatment Center, Boston, Massachusetts, United States|Mayo Clinic - Rochester; Breast Cancer Center, Rochester, Minnesota, United States|Columbia University Medical Center, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Tennessee Oncology, Nashville, Tennessee, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Gustave Roussy Cancer Campus, Villejuif, France|Universitaetsklinikum Essen; Westdeutsches Tumorzentrum; Innere Klinik (Tumorforschung), Essen, Germany|Krankenhaus Nordwest GmbH - Institut Fuer Klinisch-Onkologische Forschung (IKF), Frankfurt am Main, Germany|Universitatsklinik Heidelberg; Universitätshautklinik und Nationales Centrum für Tumorerkrankungen, Heidelberg, Germany|Seoul National University Hospital (SNUH) - Medical Oncology Center, Jongno -Gu, Korea, Republic of|Yonsei University College of Medicine (YUCM)-Yonsei Cancer Center; Cancer Metastasis Research Center, Seodaemun-Gu, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam-si, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|University of Ulsan College of Medicine - Asan Medical Center (AMC) - Asan Cancer Center (ACC), Songpa-gu, Korea, Republic of|The Catholic University of Korea St. Vincent's Hospital, Suwon-si,, Korea, Republic of|Het Nederlands Kanker Instituut Antoni Van Leeuwenhoek Ziekenhuis, Amsterdam, Netherlands|Universidad de Navarra - Clinica Universitaria de Navarra (CUN), Pamplona, Navarra, Spain|Hospital Universitari Vall dHebron; Oncology, Barcelona, Spain|National Cheng Kung University Hospital, Tainan, Taiwan|Taipei Veterans General Hospital, Taipei City, Taiwan|National Taiwan University Hospital (NTUH) - Cancer Research Center, Zhongzheng Dist., Taiwan|The Royal Marsden, London, United Kingdom|The Royal Marsden NHS Foundation Trust - Royal Marsden Hospital (RMH) - Sutton, Sutton, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03281369"
122,"NCT03959761","Tolerance of Intraperitoneal (IP) Nivolumab After Extensive Debulking Surgery and Hyperthermic Intraperitoneal Chemotherapy (HIPEC) in Patients With Advanced Ovarian Carcinoma","ICONIC","Not yet recruiting","No Results Available","Ovarian Cancer","Drug: Intraperitoneal (IP) nivolumab infusion","Safety profile of the Intraperitoneal (IP) nivolumab treatment|Changes over time in disease progression|Changes in toxicity as assessed by the Common Terminology Criteria (CTC) scale- Surgery|Changes over time in toxicity as assessed by the Common Terminology Criteria (CTC) scale- Intraperitoneal (IP) nivlumab infusion|Changes in tolerance of post procedure intravenous (IV) chemotherapy- Surgery|Changes over time in tolerance of post procedure intravenous (IV) chemotherapy- Intraperitoneal (IP) nivlumab infusion","Hospices Civils de Lyon","Female","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","32","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","69HCL18_0802|2018-004408-21","July 31, 2019","January 31, 2021","November 30, 2021","May 22, 2019",,"May 24, 2019","Hospices Civils de Lyon, Lyon, France",,"https://ClinicalTrials.gov/show/NCT03959761"
123,"NCT04037462","Induction of Sensecence Using Dexamethasone to Re-sensitize NSCLC to Anti-PD1 Therapy",,"Not yet recruiting","No Results Available","Non-Small Cell Lung Cancer|Immunotherapy","Drug: Dexamthasone","Reduction in FLT-PET signal|Response rate","VA Office of Research and Development|Wayne State University|University of Michigan|Barbara Ann Karmanos Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","39","U.S. Fed|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CSDR-002-18F","August 1, 2020","July 31, 2022","April 1, 2024","July 30, 2019",,"May 11, 2020","VA Ann Arbor Healthcare System, Ann Arbor, MI, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04037462"
124,"NCT03337698","A Study Of Multiple Immunotherapy-Based Treatment Combinations In Participants With Metastatic Non-Small Cell Lung Cancer (Morpheus- Non-Small Cell Lung Cancer)","Morpheus Lung","Recruiting","No Results Available","Carcinoma, Non-Small-Cell Lung","Drug: Atezolizumab|Drug: Cobimetinib|Drug: RO6958688|Drug: Docetaxel|Drug: CPI-444|Drug: Pemetrexed|Drug: Carboplatin|Drug: Gemcitabine|Drug: Linagliptin|Drug: Tocilizumab|Drug: Ipatasertib|Drug: Idasanutlin|Drug: Bevacizumab","Percentage of Participants with Objective Response|Progression Free Survival (PFS)|Overall Survival After Randomization|Percentage of Participants Who Are Alive at Month 6 and at Month 12|Duration of Response|Disease Control|Percentage of Participants with Adverse Events","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","305","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BO39610|2017-001267-21","January 2, 2018","February 1, 2022","April 16, 2022","November 9, 2017",,"March 17, 2020","Smilow Cancer Hospital at Yale New Haven, New Haven, Connecticut, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Columbia University Medical Center; Research Pharmacy, Irving Pavillion, Ip 7-749, New York, New York, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|Peter Mac Callum Cancer Center, East Melbourne, Victoria, Australia|Centre Léon Bérard, Lyon, France|Hopital de la Timone, Marseille, France|Institut Universitaire du Cancer de Toulouse-Oncopole; PHARMACIE, Toulouse, France|Rambam Medical Center; Oncology, Haifa, Israel|Rabin Medical Center, Petach Tikva, Israel|Chaim Sheba Medical Center; Oncology Dept, Ramat Gan, Israel|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Yonsei University Health System, Seoul, Korea, Republic of|University of Ulsan College of Medicine - Asan Medical Center (AMC) - Asan Cancer Center (ACC), Songpa-gu, Korea, Republic of|Clínica Universidad de Navarra, Pamplona, Navarra, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Fundación Jimenez Díaz, Madrid, Spain|South Texas Accelerated Research Therapeutics Madrid - CIOCC - Universitario Sanchinarro, Madrid, Spain|Barts Cancer Institute, London, United Kingdom|Royal Marsden Hospital; Institute of Cancer Research, Sutton, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03337698"
125,"NCT03576612","GMCI, Nivolumab, and Radiation Therapy in Treating Patients With Newly Diagnosed High-Grade Gliomas","GMCI","Recruiting","No Results Available","Glioma, Malignant","Biological: AdV-tk|Drug: Valacyclovir|Radiation: Radiation|Drug: Temozolomide|Biological: Nivolumab|Other: Laboratory Biomarker Analysis","Incidence of adverse events|Overall survival (death)|Progression-free survival (progression)|Immune profiling - Tumor Tissue|Tumor mutation - Tumor Tissue|Peripheral blood mononuclear cells (PBMCs) in serum samples|Immune characterization as determined by Cytokines|Immune characterization as determined by Extracellular vesicles (EVs) proteins","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|Advantagene, Inc.|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","Other|Industry|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ABTC-1603|IRB00172749|UM1CA137443","February 27, 2018","February 28, 2021","February 28, 2021","July 3, 2018",,"May 20, 2020","University of Alabama at Birmingham Comprehensive Cancer Center, Birmingham, Alabama, United States|Jonsson Comprehensive Cancer Center at UCLA, Los Angeles, California, United States|University of California San Francisco Medical Center, San Francisco, California, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Wake Forest University Comprehensive Cancer Center, Winston-Salem, North Carolina, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, United States|Abrams Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Hillman Cancer Center at University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03576612"
126,"NCT02073123","Study of IDO Inhibitor in Combination With Checkpoint Inhibitors for Adult Patients With Metastatic Melanoma",,"Active, not recruiting","No Results Available","Metastatic Melanoma|Stage III Melanoma|Stage IV Melanoma","Drug: Indoximod|Drug: Ipilimumab|Drug: Nivolumab|Drug: Pembrolizumab","Overall Incidence of Adverse Events as a Measure of Safety and Tolerability|Phase 2 Dosing|Overall Response Rate|Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Overall Survival|Mechanisms of activity/resistance to IDO/CTLA-4 inhibitor therapy|Progression Free Survival|Disease control rate","NewLink Genetics Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","132","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NLG2103","July 2014","January 17, 2018","June 13, 2019","February 27, 2014",,"April 25, 2019","Augusta University, Augusta, Georgia, United States|University of Iowa Hospital and Clinics, Iowa City, Iowa, United States|Mayo Clinic, Rochester, Minnesota, United States|New Mexico Cancer Center Alliance, Albuquerque, New Mexico, United States|Penn State Hershey Cancer Institue, Hershey, Pennsylvania, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02073123"
127,"NCT03678883","9-ING-41 in Patients With Advanced Cancers",,"Recruiting","No Results Available","Cancer|Lymphoma|Pancreatic Cancer|Glioblastoma Multiforme|Sarcoma|Breast Cancer|Bladder Cancer|Renal Cancer|Ovarian Cancer|Refractory Cancer|Refractory Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Brain Tumor|Pancreatic Adenocarcinoma|Resistant Cancer|Neoplasm Metastasis|Neoplasm of Bone|Neoplasm, Breast|Neoplasm of Lung|Neoplasms,Colorectal|Neoplasms Pancreatic|Malignant Glioma|Malignancies|Malignancies Multiple|Bone Metastases|Bone Neoplasm|Bone Cancer|Pancreas Cancer|Pancreatic Neoplasms|Breast Neoplasms","Drug: 9-ING-41|Drug: Gemcitabine - 21 day cycle|Drug: Doxorubicin.|Drug: Lomustine|Drug: Carboplatin.|Drug: Nab paclitaxel.|Drug: Paclitaxel.|Drug: Gemcitabine - 28 day cycle|Drug: Irinotecan","Parts 1/2: Number of participants with treatment-related adverse events as assessed by CTCAE v4.03","Actuate Therapeutics Inc.|Developmental Therapeutics Consortium","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","350","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1801","January 4, 2019","November 2022","November 2022","September 20, 2018",,"May 28, 2020","UCSF Helen Diller Family Comprehensive Cancer Center, San Francisco, California, United States|Miami Cancer Institute, Miami, Florida, United States|Moffitt Cancer Center, Tampa, Florida, United States|Winship Cancer Institute, Atlanta, Georgia, United States|Robert H. Lurie Comprehensive Cancer Center of Northwestern University, Chicago, Illinois, United States|Kansas University Cancer Center, Kansas City, Kansas, United States|University of Michigan, Ann Arbor, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Sanford Research, Sioux Falls, South Dakota, United States|Vanderbilt-Ingram Cancer Center, Nashville, Tennessee, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|Netherlands Cancer Institute, Amsterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT03678883"
128,"NCT03332498","Pembrolizumab in Combination With Ibrutinib for Advanced, Refractory Colorectal Cancers",,"Active, not recruiting","No Results Available","Colon Cancer|Colorectal Cancer|Colorectal Carcinoma|Colon Disease","Drug: Pembrolizumab|Drug: Ibrutinib","Phase I - Recommended Phase II Dose (RP2D)|Phase II - Disease Control Rate at 4 Months","H. Lee Moffitt Cancer Center and Research Institute|Janssen Scientific Affairs, LLC|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","40","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MCC-19091","January 24, 2018","February 2021","February 2022","November 6, 2017",,"February 6, 2020","H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03332498"
129,"NCT02797977","A Phase 1/2 Trial of SRA737 in Combination With Gemcitabine Plus Cisplatin or Gemcitabine Alone in Subjects With Advanced Cancer",,"Active, not recruiting","No Results Available","Advanced Solid Tumors","Drug: SRA737, gemcitabine, cisplatin|Drug: SRA737, gemcitabine","Number of subjects with adverse events as assessed by CTCAE4.03|Maximum tolerated dose of SRA737 administered in combination with gemcitabine|Recommended Phase 2 dose of SRA737 in combination with gemcitabine.","Sierra Oncology, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","153","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SRA737-02","July 2016","January 2020","March 2020","June 14, 2016",,"January 3, 2020","Hospital Universitario Vall d'Hebron, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|START Madrid, Madrid, Spain|Hospital Universitario 12 de Octobre, Madrid, Spain|Hospital Universitario Virgen de la Victoria, Málaga, Spain|Biomedical Research Institute INCLIVA, Valencia, Spain|Royal Marsden Hospital, Sutton, London, United Kingdom|Belfast City Hospital, Belfast, Northern Ireland, United Kingdom|Oxford University Hospitals, Headington, Oxford, United Kingdom|Velindre Cancer Centre, Cardiff, Whitchurch, United Kingdom|The Clatterbridge Cancer Centre, Bebington, Wirral, United Kingdom|The Beatson West of Scotland Cancer Centre, Glasgow, United Kingdom|Leeds Teaching Hospital of St James University Hospital, Leeds, United Kingdom|University Hospital of Leceister NHS TRUST, Leicester, United Kingdom|Guy's and St Thomas', London, United Kingdom|Sarah Cannon Research Institute, London, United Kingdom|University College London, London, United Kingdom|The Christie NHS Foundation Trust, Manchester, United Kingdom|Freeman Hospital, Newcastle upon Tyne, United Kingdom|Sheffield Teaching Hospitals, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02797977"
130,"NCT02936102","A Study of FAZ053 Single Agent and in Combination With PDR001 in Patients With Advanced Malignancies.",,"Active, not recruiting","No Results Available","Advanced Solid Tumors|Triple Negative Breast Cancer|Chordoma and Alveolar Soft Part Sarcoma","Drug: FAZ053|Drug: PDR001","Number of participants with Adverse Events (AEs) as a measure of safety and tolerability|Serum concentration-time profiles of FAZ053 as single agent and FAZ053 in combination with PDR001.|Presence of anti-FAZ053 and anti-PDR001.|Concentration of anti-FAZ053 and anti-PDR001.|Receptor Occupancy (RO) profiles when FAZ053 is given as single agent.|Total soluble/shed PD-L1 concentration-time profiles when FAZ053 is given as single agent and for FAZ053 in combination with PDR001.|Histopathology of tumor infiltrating lymphocytes (TILs) by hematoxylin.|Histopathology of tumor infiltrating lymphocytes (TILs) by eosin (H&E) stain.|Overall response rate (ORR) per RECIST v1.1|Best overall response per RECIST v1.1|Disease control rate per RECIST 1.1|Progression free survival (PFS) per RECIST 1.1|Duration of response per RECIST 1.1|Overall response rate (ORR) per immune related Response Criteria (irRC).|Progression free survival (PFS) per immune related Response Criteria (irRC).|Characterization of Tumor Infiltrating Lymphocytes (TILs) by Immunohistochemistry (IHC)|Characterization of myeloid cell infiltrate by IHC.|Area under the curve (AUC) for FAZ053 as single agent and FAZ053 in combination with PDR001.|Cmax for FAZ053 as single agent and FAZ053 in combination with PDR001.|Tmax for FAZ053 as single agent and FAZ053 in combination with PDR001.|Half-life for FAZ053 as single agent and FAZ053 in combination with PDR001.|Clast for FAZ053 as single agent and FAZ053 in combination with PDR001.|Tlast for FAZ053 as single agent and FAZ053 in combination with PDR001.","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 1","154","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CFAZ053X2101|2016-001470-15","October 20, 2016","November 30, 2020","November 30, 2020","October 18, 2016",,"January 21, 2020","Novartis Investigative Site, Santa Monica, California, United States|Novartis Investigative Site, New York, New York, United States|Novartis Investigative Site, Houston, Texas, United States|Novartis Investigative Site, Toronto, Ontario, Canada|Novartis Investigative Site, Toulouse Cedex 9, France|Novartis Investigative Site, Tel Aviv, Israel|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Modena, MO, Italy|Novartis Investigative Site, Koto ku, Tokyo, Japan|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Sevilla, Andalucia, Spain|Novartis Investigative Site, Barcelona, Catalunya, Spain|Novartis Investigative Site, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT02936102"
131,"NCT03633110","Safety, Tolerability, Immunogenicity, and Antitumor Activity of GEN-009 Adjuvanted Vaccine",,"Active, not recruiting","No Results Available","Cutaneous Melanoma|Non-small Cell Lung Cancer|Squamous Cell Carcinoma of the Head and Neck|Urothelial Carcinoma|Renal Cell Carcinoma","Biological: GEN-009 Adjuvanted Vaccine|Drug: Nivolumab|Drug: Pembrolizumab","Incidence of Treatment-Emergent Adverse Events|T-cell responses to GEN-009 adjuvanted vaccine|Antitumor activity of GEN-009 in Part B","Genocea Biosciences, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","99","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GEN-009-101","August 29, 2018","December 2022","December 2022","August 16, 2018",,"May 6, 2020","UC San Diego Moores Cancer Center, La Jolla, California, United States|John Wayne Cancer Institute - Providence Saint John's Health Center, Santa Monica, California, United States|University of Colorado, Anschutz Cancer Pavilion, Aurora, Colorado, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Columbia University Medical Center - Herbert Irving Pavilion, New York, New York, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|The Sarah Cannon Research Institute, Nashville, Tennessee, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States|University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT03633110"
132,"NCT03906526","A Study to Evaluate Immune Biomarker Modulation in Response to VTX-2337 in Combination With an Anti- PD-1 Inhibitor in Head and Neck Cancer",,"Recruiting","No Results Available","Carcinoma, Squamous Cell","Drug: VTX-2337|Drug: Nivolumab","Numbers of CD8+ T cells within the tumor pre-treatment and post-surgery|Number of Patients With adverse events that lead to delay in resection|Evaluation of safety and tolerability of nivolumab, motolimod and the combination of nivolumab with motolimod","Celgene","All","18 Years and older   (Adult, Older Adult)","Phase 1","72","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VTX-2337-HN-001|U1111-1223-3488","July 3, 2019","December 31, 2020","January 25, 2021","April 8, 2019",,"April 7, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California San Diego Moores Cancer Center, La Jolla, California, United States|Boston University, Boston, Massachusetts, United States|Washington University, Saint Louis, Missouri, United States|University of North Carolina, Chapel Hill, North Carolina, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|University of Pittsburgh Medical Center Hillman Cancer Center, Pittsburgh, Pennsylvania, United States|Sanford Cancer Center, Sioux Falls, South Dakota, United States|The University of Texas Southwestern Medical Center, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03906526"
